01001     Steve_Howe        123_Topographic_Rd  London      England     000.00
01002     Ruth_Underwood    4385_Inca_Rd        Los_Angeles California  314.15
01003     Steve_Hackett     16_Serpentine_Dr    London      England     134.10
01005     Nancy_Wilson      5763_Butterfly_St   Seattle     Washington  018.95
01008     Andy_Latimer      858_Sasquatch_St    Leeds       England     857.44
01015     Dweezil_Zappa     86_Yerbouti_Blvd    Los_Angeles California  000.00
01019     Roine_Stolt       2332_Retropolis     Stockholm   Sweden      069.95
01023     Tal_Wilkenfeld    52525_Beck_Way      Sydney      Australia   200.00
01044     Todd_Rundgren     662_Utopia_St       Los_Angeles California  157.21
01088     Lainey_Schooltree 91_N_Broadway       New_York    New_York    000.00
